timestamp,alert_type,src_ip,dst_ip,details
2026-05-02T09:34:46Z,Port Scan,127.0.0.1,127.0.0.1,127.0.0.1 hit 8 unique ports in <1s toward 127.0.0.1
2026-05-02T09:41:50Z,Port Scan,127.0.0.1,127.0.0.1,127.0.0.1 hit 10 unique ports in <1s toward 127.0.0.1
2026-05-02T09:47:01Z,Port Scan,127.0.0.1,127.0.0.1,127.0.0.1 hit 10 unique ports in <1s toward 127.0.0.1
2026-05-02T10:12:50Z,Port Scan,127.0.0.1,127.0.0.1,127.0.0.1 hit 10 unique ports in <1s toward 127.0.0.1
2026-05-02T10:12:50Z,Port Scan,127.0.0.1,127.0.0.1,127.0.0.1 hit 10 unique ports in <1s toward 127.0.0.1
2026-05-02T10:12:57Z,Port Scan,127.0.0.1,127.0.0.1,127.0.0.1 hit 10 unique ports in <1s toward 127.0.0.1
2026-05-02T10:13:02Z,Port Scan,10.10.10.5,10.10.10.1,10.10.10.5 hit 8 unique ports in <1s toward 10.10.10.1
2026-05-02T10:13:02Z,SYN Flood,10.10.10.6,10.10.10.1,"High SYN rate from 10.10.10.6: SYN=70, ACK=0, ACK/SYN=0.00 in 1.0s"
2026-05-02T10:13:02Z,ARP Spoofing,192.168.1.1,192.168.1.10,IP 192.168.1.1 changed MAC from 00:11:22:33:44:55 to aa:bb:cc:dd:ee:ff
2026-05-02T10:13:48Z,Port Scan,127.0.0.1,127.0.0.1,127.0.0.1 hit 10 unique ports in <1s toward 127.0.0.1
2026-05-02T10:13:52Z,Port Scan,10.10.10.5,10.10.10.1,10.10.10.5 hit 8 unique ports in <1s toward 10.10.10.1
2026-05-02T10:13:53Z,SYN Flood,10.10.10.6,10.10.10.1,"High SYN rate from 10.10.10.6: SYN=70, ACK=0, ACK/SYN=0.00 in 1.0s"
2026-05-02T10:13:53Z,ARP Spoofing,192.168.1.1,192.168.1.10,IP 192.168.1.1 changed MAC from 00:11:22:33:44:55 to aa:bb:cc:dd:ee:ff
2026-07-11T04:49:55Z,Port Scan,10.10.10.5,10.10.10.1,10.10.10.5 hit 10 unique ports in <1s toward 10.10.10.1
2026-07-11T04:49:55Z,SYN Flood,10.10.10.6,10.10.10.1,"High SYN rate from 10.10.10.6: SYN=100, ACK=0, ACK/SYN=0.00 in 1.0s"
2026-07-11T04:49:55Z,ARP Spoofing,192.168.1.1,192.168.1.10,IP 192.168.1.1 changed MAC from 00:11:22:33:44:55 to aa:bb:cc:dd:ee:ff
2026-07-11T04:52:12Z,Port Scan,10.10.10.5,10.10.10.1,10.10.10.5 hit 10 unique ports in <1s toward 10.10.10.1
2026-07-11T04:52:13Z,SYN Flood,10.10.10.6,10.10.10.1,"High SYN rate from 10.10.10.6: SYN=100, ACK=0, ACK/SYN=0.00 in 1.0s"
2026-07-11T04:52:13Z,ARP Spoofing,192.168.1.1,192.168.1.10,IP 192.168.1.1 changed MAC from 00:11:22:33:44:55 to aa:bb:cc:dd:ee:ff
2026-07-11T04:59:25Z,ARP Spoofing,192.168.1.1,192.168.1.10,IP 192.168.1.1 changed MAC from 60:52:23:48:5c:a8 to 50:0d:34:42:55:60
2026-07-11T04:59:32Z,ARP Spoofing,192.168.1.1,192.168.1.10,IP 192.168.1.1 changed MAC from 60:52:23:48:5c:a8 to c8:4d:90:93:17:68
2026-07-11T05:01:53Z,ARP Spoofing,192.168.1.1,192.168.1.10,IP 192.168.1.1 changed MAC from 60:52:23:48:5c:a8 to db:2e:8f:d1:0b:94
2026-07-11T05:01:59Z,ARP Spoofing,192.168.1.1,192.168.1.10,IP 192.168.1.1 changed MAC from 60:52:23:48:5c:a8 to 01:2d:8c:87:cf:0b
2026-07-11T05:02:03Z,ARP Spoofing,192.168.1.1,192.168.1.10,IP 192.168.1.1 changed MAC from 60:52:23:48:5c:a8 to ce:b4:55:59:5f:53
2026-07-11T05:02:03Z,ARP Spoofing,192.168.1.1,192.168.1.10,IP 192.168.1.1 changed MAC from db:2e:8f:d1:0b:94 to ce:b4:55:59:5f:53
